scenario,aggressive,base,conservative
base,1747708.9562312118,2634431.299701796,2909689.962128868
combined_shock,1081808.0470513797,2084289.728406703,2548825.236572655
medical_inflation,2023826.2578663104,2984141.951571783,3329371.077275195
price_war,971774.2479340164,1876864.312571469,2319799.427976364
