scenario,aggressive,base,conservative
base,619859.0988420043,564717.767745689,240949.93279569456
combined_shock,215830.3614597423,220379.50143836671,-51881.624833907
medical_inflation,342697.0249759988,206193.0614412399,-180531.51226517186
price_war,321996.1537452189,426421.4347092698,180811.7299819365
