scenario,aggressive,base,conservative
base,2367568.055073216,3199149.067447485,3150639.8949245624
combined_shock,1297638.408511122,2304669.22984507,2496943.611738748
medical_inflation,2366523.282842309,3190335.013013023,3148839.5650100233
price_war,1293770.4016792353,2303285.747280739,2500611.1579583003
