scenario,aggressive,base,conservative
base,572581.1819636174,506032.0619767322,166103.4527578121
combined_shock,216082.50840280228,269610.68810624373,-95139.73781276774
medical_inflation,426082.57487134053,222559.2225634246,-155725.11338516558
price_war,327303.9464845462,377568.10605382454,197296.06800055923
