scenario,aggressive,base,conservative
base,2383784.05949765,3193343.433953529,3144735.279097001
combined_shock,1298377.117456938,2319747.942121341,2485827.372099785
medical_inflation,2361982.146373406,3185475.544628495,3138254.2310826113
price_war,1303104.8027846946,2300367.905629962,2496744.174635406
