scenario,aggressive,base,conservative
base,1355568.6809935225,932800.6457617898,404732.05360659724
combined_shock,1002593.5972695383,579825.5620378056,51756.96988261305
medical_inflation,826106.0554075474,403338.0201758146,-124730.57197937788
price_war,1355568.6809935225,932800.6457617898,404732.05360659724
