scenario,aggressive,base,conservative
aggressive_market,101.98202464155703,92.75084298236409,87.3339281467904
base,105.18573786760358,91.04808539412628,84.64095745770041
combined_shock,114.17775631375554,106.57835203935964,90.21426593694687
medical_inflation,122.97009925201611,108.18478155041406,95.02506123593501
price_war,102.16561595828064,94.03638228617916,85.8850721366623
tight_underwriting,105.12775301482714,97.56481936320424,82.95851567012379
