scenario,aggressive,base,conservative
base,1501965.1731762518,991297.7780473838,485067.5727173472
combined_shock,1647549.8072963404,1116395.9026128561,599569.8576448457
medical_inflation,1671332.833750112,1225415.5267512891,503822.4036981659
price_war,1488507.549119574,1061432.7168510105,548190.905763296
